Palermo,28690.9133858268,127,12.7637795275591
Barrio Norte,27584.0909090909,44,12.5681818181818
Recoleta,27089.4782608696,115,12.5304347826087
Saavedra,26915.8333333333,12,12.75
Villa Urquiza,26210.8695652174,46,13.4130434782609
Colegiales,25876.9230769231,13,13.6923076923077
Belgrano,25803.4158415842,101,12.5940594059406
Caballito,25048.7804878049,41,12.5609756097561
Retiro,24468.75,16,12.75
Villa Crespo,23485.2647058824,34,12.9705882352941
Chacarita,23020,14,12.3571428571429
Balvanera,22898.5074626866,67,13.0298507462687
Almagro,22335.3692307692,65,13.3384615384615
Villa del Parque,21833.3333333333,12,13.0833333333333
Once,21117.6470588235,17,12.6470588235294
Villa Pueyrredón,21113.5294117647,17,13.8823529411765
Monserrat,20471.0526315789,38,12.6578947368421
Centro / Microcentro,19756.9791666667,64,13
San Nicolás,19725.4803921569,102,13.0686274509804
San Telmo,18328.4285714286,14,13.5
Congreso,18078.9473684211,19,12.8947368421053
Tribunales,17928.5714285714,21,12.1428571428571
Flores,17408.6363636364,22,13.2727272727273
